Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : movie , patience , notion .
Before the meeting , Mary wrote down the following lists of words . One was : echo , pepper , fountain , music , oven , patient , daughter . And the other : echo , pepper , oven , patient , daughter , fountain , music .
Before the meeting , Mary wrote down the following lists of words . One was : product , echo , pepper , fountain , music , oven , patient . And the other : pepper , patient , oven , product , echo , fountain , music .
Before the meeting , Mary wrote down the following lists of words . One was : colour , product , echo , pepper , fountain , music , oven . And the other : colour , oven , echo , fountain , pepper , music , product .
Before the meeting , Mary wrote down the following lists of words . One was : bubble , colour , product , echo , pepper , fountain , music . And the other : music , fountain , product , colour , bubble , echo , pepper .
Before the meeting , Mary wrote down the following lists of words . One was : daughter , bubble , colour , product , echo , pepper , fountain . And the other : product , fountain , bubble , pepper , daughter , echo , colour .
Before the meeting , Mary wrote down the following lists of words . One was : patient , daughter , bubble , colour , product , echo , pepper . And the other : bubble , patient , product , pepper , daughter , echo , colour .
Before the meeting , Mary wrote down the following lists of words . One was : village , shipping , beauty , football , merit , autumn , lumber . And the other : village , merit , beauty , football , shipping , lumber , autumn .
Before the meeting , Mary wrote down the following lists of words . One was : rival , village , shipping , beauty , football , merit , autumn . And the other : rival , village , autumn , beauty , merit , football , shipping .
Before the meeting , Mary wrote down the following lists of words . One was : resort , rival , village , shipping , beauty , football , merit . And the other : resort , shipping , village , merit , beauty , rival , football .
Before the meeting , Mary wrote down the following lists of words . One was : research , resort , rival , village , shipping , beauty , football . And the other : beauty , football , research , resort , rival , shipping , village .
Before the meeting , Mary wrote down the following lists of words . One was : lumber , research , resort , rival , village , shipping , beauty . And the other : research , beauty , rival , lumber , village , shipping , resort .
Before the meeting , Mary wrote down the following lists of words . One was : autumn , lumber , research , resort , rival , village , shipping . And the other : autumn , shipping , resort , village , research , lumber , rival .
Before the meeting , Mary wrote down the following lists of words . One was : merit , autumn , lumber , research , resort , rival , village . And the other : village , resort , research , autumn , merit , lumber , rival .
Before the meeting , Mary wrote down the following lists of words . One was : football , merit , autumn , lumber , research , resort , rival . And the other : rival , resort , football , merit , research , lumber , autumn .
Before the meeting , Mary wrote down the following lists of words . One was : beauty , football , merit , autumn , lumber , research , resort . And the other : research , autumn , lumber , resort , beauty , football , merit .
Before the meeting , Mary wrote down the following lists of words . One was : shipping , beauty , football , merit , autumn , lumber , research . And the other : autumn , football , research , beauty , merit , shipping , lumber .
