Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : doorway , candle , parent .
Before the meeting , Mary wrote down the following lists of words . One was : patient , daughter , bubble , colour , product , echo , pepper . And the other : meaning , campaign , voyage , cannon , helmet , thunder , hatred .
Before the meeting , Mary wrote down the following lists of words . One was : village , shipping , beauty , football , merit , autumn , lumber . And the other : traitor , engine , timber , harbour , party , level , money .
Before the meeting , Mary wrote down the following lists of words . One was : rival , village , shipping , beauty , football , merit , autumn . And the other : legend , problem , flavor , prairie , forehead , illness , planet .
Before the meeting , Mary wrote down the following lists of words . One was : resort , rival , village , shipping , beauty , football , merit . And the other : water , motor , lawyer , powder , habit , mountain , district .
Before the meeting , Mary wrote down the following lists of words . One was : research , resort , rival , village , shipping , beauty , football . And the other : canoe , novel , folly , silver , eagle , center , patience .
Before the meeting , Mary wrote down the following lists of words . One was : lumber , research , resort , rival , village , shipping , beauty . And the other : bottom , meaning , campaign , voyage , cannon , helmet , thunder .
Before the meeting , Mary wrote down the following lists of words . One was : autumn , lumber , research , resort , rival , village , shipping . And the other : meeting , career , bargain , chimney , effort , province , parcel .
Before the meeting , Mary wrote down the following lists of words . One was : merit , autumn , lumber , research , resort , rival , village . And the other : total , comrade , angle , battle , pistol , nothing , riches .
Before the meeting , Mary wrote down the following lists of words . One was : football , merit , autumn , lumber , research , resort , rival . And the other : worker , master , meadow , writer , apple , costume , pleasure .
Before the meeting , Mary wrote down the following lists of words . One was : beauty , football , merit , autumn , lumber , research , resort . And the other : onion , opera , attack , prison , butter , interest , colonel .
Before the meeting , Mary wrote down the following lists of words . One was : shipping , beauty , football , merit , autumn , lumber , research . And the other : pepper , fountain , music , oven , patient , daughter , bubble .
Before the meeting , Mary wrote down the following lists of words . One was : county , muscle , vapor , shepherd , sickness , herald , value . And the other : banner , kitten , lemon , failure , princess , painter , bullet .
Before the meeting , Mary wrote down the following lists of words . One was : building , county , muscle , vapor , shepherd , sickness , herald . And the other : leather , hero , water , motor , lawyer , powder , habit .
Before the meeting , Mary wrote down the following lists of words . One was : finger , building , county , muscle , vapor , shepherd , sickness . And the other : lumber , research , resort , rival , village , shipping , beauty .
Before the meeting , Mary wrote down the following lists of words . One was : mission , finger , building , county , muscle , vapor , shepherd . And the other : opera , attack , prison , butter , interest , colonel , commerce .
