Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot , apple , pear , banana , peach . And the other : adultery , battery , murder , rape , robbery , theft , assault .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon , apricot , apple , pear , banana . And the other : pine , elm , birch , spruce , redwood , walnut , fir .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit , lemon , apricot , apple , pear . And the other : cup , dish , knife , spoon , fork , pan , pot .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum , grapefruit , lemon , apricot , apple . And the other : oak , maple , pine , elm , birch , spruce , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry , plum , grapefruit , lemon , apricot . And the other : cave , mountain , hill , valley , river , rock , lake .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape , cherry , plum , grapefruit , lemon . And the other : heron , eagle , crow , hawk , parrot , pigeon , woodpecker .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach , grape , cherry , plum , grapefruit . And the other : oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium .
Before the meeting , Mary wrote down the following lists of words . One was : hammer , saw , nails , level , plane , chisel , ruler . And the other : shoes , blouse , skirt , coat , dress , hat , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : screws , hammer , saw , nails , level , plane , chisel . And the other : violin , clarinet , flute , guitar , saxophone , trombone , oboe .
Before the meeting , Mary wrote down the following lists of words . One was : drill , screws , hammer , saw , nails , level , plane . And the other : ceiling , room , basement , hearth , hall , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : wrench , drill , screws , hammer , saw , nails , level . And the other : elm , birch , spruce , redwood , walnut , fir , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : ruler , wrench , drill , screws , hammer , saw , nails . And the other : ceiling , room , basement , hearth , hall , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : chisel , ruler , wrench , drill , screws , hammer , saw . And the other : chemistry , physics , psychology , biology , zoology , botany , astronomy .
Before the meeting , Mary wrote down the following lists of words . One was : plane , chisel , ruler , wrench , drill , screws , hammer . And the other : cod , carp , pike , trout , shark , herring , perch .
Before the meeting , Mary wrote down the following lists of words . One was : level , plane , chisel , ruler , wrench , drill , screws . And the other : finger , ear , hand , toe , leg , arms , head .
Before the meeting , Mary wrote down the following lists of words . One was : nails , level , plane , chisel , ruler , wrench , drill . And the other : elephant , pig , bear , mouse , log , cat , horse .
Before the meeting , Mary wrote down the following lists of words . One was : saw , nails , level , plane , chisel , ruler , wrench . And the other : fork , pan , pot , stove , bowl , mixer , cup .
Before the meeting , Mary wrote down the following lists of words . One was : hurricane , tornado , rain , snow , hail , storm , wind . And the other : felt , cotton , wool , silk , rayon , linen , satin .
Before the meeting , Mary wrote down the following lists of words . One was : sunshine , hurricane , tornado , rain , snow , hail , storm . And the other : pear , banana , peach , grape , cherry , plum , grapefruit .
Before the meeting , Mary wrote down the following lists of words . One was : clouds , sunshine , hurricane , tornado , rain , snow , hail . And the other : psychologist , doctor , lawyer , teacher , dentist , engineer , professor .
Before the meeting , Mary wrote down the following lists of words . One was : cyclone , clouds , sunshine , hurricane , tornado , rain , snow . And the other : floor , ceiling , room , basement , hearth , hall , window .
Before the meeting , Mary wrote down the following lists of words . One was : wind , cyclone , clouds , sunshine , hurricane , tornado , rain . And the other : spoon , fork , pan , pot , stove , bowl , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : storm , wind , cyclone , clouds , sunshine , hurricane , tornado . And the other : goldfish , cod , carp , pike , trout , shark , herring .
Before the meeting , Mary wrote down the following lists of words . One was : hail , storm , wind , cyclone , clouds , sunshine , hurricane . And the other : cruiser , submarine , yacht , canoe , freighter , tugboat , steamship .
Before the meeting , Mary wrote down the following lists of words . One was : snow , hail , storm , wind , cyclone , clouds , sunshine . And the other : foot , nose , finger , ear , hand , toe , leg .
Before the meeting , Mary wrote down the following lists of words . One was : rain , snow , hail , storm , wind , cyclone , clouds . And the other : physics , psychology , biology , zoology , botany , astronomy , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : tornado , rain , snow , hail , storm , wind , cyclone . And the other : wrench , drill , screws , hammer , saw , nails , level .
Before the meeting , Mary wrote down the following lists of words . One was : oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium . And the other : green , yellow , black , purple , white , pink , brown .
Before the meeting , Mary wrote down the following lists of words . One was : potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur . And the other : salesman , nurse , psychologist , doctor , lawyer , teacher , dentist .
Before the meeting , Mary wrote down the following lists of words . One was : calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium . And the other : wind , cyclone , clouds , sunshine , hurricane , tornado , rain .
Before the meeting , Mary wrote down the following lists of words . One was : chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon . And the other : psychology , biology , zoology , botany , astronomy , mathematics , geology .
